id, country, Gender, Age, Language, Nationality, PoliticalSpectrum, SocioeconomicStatus, EU, NATORussia, 
id243, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Center, LowerClass, proEU, NotApplicable, 
id244, Estonia, Male, NotApplicable, NationalLanguage, Estonian, NotApplicable, UpperClass, antiEU, ProNATOAntiRussia, 
id245, Estonia, Female, MiddleAged, Russian, Estonian, Center, LowerClass, proEU, NotApplicable, 
id246, Estonia, Female, Old, NationalLanguage, Estonian, NotApplicable, NotApplicable, proEU, ProNATOAntiRussia, 
id247, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Center, UpperClass, antiEU, NotApplicable, 
id248, Estonia, Male, Old, Both, Estonian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id249, Estonia, Female, MiddleAged, Both, Estonian, Right, UpperClass, antiEU, AntiNATOProRussia, 
id250, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Left, LowerClass, proEU, ProNATOAntiRussia, 
id251, Estonia, Male, NotApplicable, NationalLanguage, Estonian, Center, MiddleClass, proEU, NotApplicable, 
id252, Estonia, Female, Old, Both, Estonian, Right, MiddleClass, proEU, AntiNATOProRussia, 
id253, Estonia, Female, NotApplicable, Both, Russian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id254, Estonia, Male, Old, NationalLanguage, Estonian, Right, MiddleClass, proEU, ProNATOAntiRussia, 
id255, Estonia, Male, Old, NationalLanguage, Estonian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id256, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, NotApplicable, antiEU, ProNATOAntiRussia, 
id257, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Left, UpperClass, proEU, NotApplicable, 
id258, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Left, LowerClass, proEU, AntiNATOProRussia, 
id259, Estonia, Female, NotApplicable, NationalLanguage, Estonian, Center, MiddleClass, NotApplicable, AntiNATOProRussia, 
id260, Estonia, Male, MiddleAged, NationalLanguage, Estonian, NotApplicable, MiddleClass, antiEU, NotApplicable, 
id261, Estonia, Male, Old, NationalLanguage, Estonian, Right, NotApplicable, proEU, AntiNATOProRussia, 
id262, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Right, LowerClass, NotApplicable, ProNATOAntiRussia, 
id263, Estonia, Female, Old, NationalLanguage, Estonian, Left, NotApplicable, antiEU, NotApplicable, 
id264, Estonia, Male, Old, Both, Estonian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id265, Estonia, Female, NotApplicable, Both, Estonian, Right, NotApplicable, antiEU, NotApplicable, 
id266, Estonia, Male, NotApplicable, NationalLanguage, Estonian, Right, NotApplicable, proEU, NotApplicable, 
id267, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Center, UpperClass, proEU, ProNATOAntiRussia, 
id268, Estonia, Male, NotApplicable, NationalLanguage, Estonian, Right, MiddleClass, proEU, AntiNATOProRussia, 
id269, Estonia, Female, MiddleAged, Russian, Estonian, Left, NotApplicable, NotApplicable, AntiNATOProRussia, 
id270, Estonia, Male, Old, Both, Estonian, Left, MiddleClass, antiEU, ProNATOAntiRussia, 
id271, Estonia, Female, NotApplicable, NationalLanguage, Estonian, Center, NotApplicable, proEU, ProNATOAntiRussia, 
id272, Estonia, Male, MiddleAged, Both, Estonian, Right, LowerClass, NotApplicable, AntiNATOProRussia, 
id273, Estonia, Male, Old, NationalLanguage, Estonian, Left, UpperClass, antiEU, NotApplicable, 
id274, Estonia, Female, NotApplicable, Russian, Estonian, NotApplicable, MiddleClass, antiEU, ProNATOAntiRussia, 
id275, Estonia, Female, Old, NationalLanguage, Estonian, Right, MiddleClass, proEU, AntiNATOProRussia, 
id276, Estonia, Female, MiddleAged, NationalLanguage, Russian, Left, MiddleClass, NotApplicable, ProNATOAntiRussia, 
id277, Estonia, Male, MiddleAged, Both, Estonian, Center, LowerClass, NotApplicable, AntiNATOProRussia, 
id278, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Right, LowerClass, proEU, ProNATOAntiRussia, 
id279, Estonia, Male, Old, Russian, Estonian, Center, NotApplicable, proEU, ProNATOAntiRussia, 
id280, Estonia, Male, NotApplicable, Both, Belarusian, Left, MiddleClass, antiEU, NotApplicable, 
id281, Estonia, Female, MiddleAged, Russian, Estonian, Center, LowerClass, antiEU, ProNATOAntiRussia, 
id282, Estonia, Female, Old, Russian, Estonian, Right, LowerClass, antiEU, AntiNATOProRussia, 
id283, Estonia, Female, MiddleAged, Both, Estonian, Center, MiddleClass, antiEU, AntiNATOProRussia, 
id284, Estonia, Male, Old, NationalLanguage, Estonian, Right, MiddleClass, proEU, AntiNATOProRussia, 
id285, Estonia, Female, MiddleAged, Both, Estonian, Center, NotApplicable, antiEU, ProNATOAntiRussia, 
id286, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Center, UpperClass, antiEU, NotApplicable, 
id287, Estonia, Female, MiddleAged, Both, Estonian, Left, LowerClass, proEU, NotApplicable, 
id288, Estonia, Female, Old, NationalLanguage, Estonian, Left, UpperClass, antiEU, NotApplicable, 
id289, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Right, LowerClass, antiEU, NotApplicable, 
id290, Estonia, Male, Young, NationalLanguage, Estonian, Right, MiddleClass, antiEU, ProNATOAntiRussia, 
id291, Estonia, Male, NotApplicable, NationalLanguage, Russian, Left, NotApplicable, proEU, AntiNATOProRussia, 
id292, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, UpperClass, proEU, NotApplicable, 
id293, Estonia, Male, Young, Both, Estonian, Center, UpperClass, proEU, AntiNATOProRussia, 
id294, Estonia, Female, Old, NationalLanguage, Estonian, Center, NotApplicable, antiEU, NotApplicable, 
id295, Estonia, Male, NotApplicable, Both, Estonian, Left, LowerClass, proEU, AntiNATOProRussia, 
id296, Estonia, Male, Young, Both, Estonian, Left, MiddleClass, antiEU, ProNATOAntiRussia, 
id297, Estonia, Male, NotApplicable, NationalLanguage, Estonian, Right, MiddleClass, proEU, NotApplicable, 
id298, Estonia, Female, Young, Russian, Russian, Right, NotApplicable, antiEU, AntiNATOProRussia, 
id299, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Right, UpperClass, NotApplicable, NotApplicable, 
id300, Estonia, Female, MiddleAged, NationalLanguage, Estonian, NotApplicable, LowerClass, proEU, ProNATOAntiRussia, 
id301, Estonia, Female, Young, NationalLanguage, Estonian, Right, UpperClass, antiEU, NotApplicable, 
id302, Estonia, Female, MiddleAged, Russian, Estonian, NotApplicable, LowerClass, antiEU, AntiNATOProRussia, 
id303, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Left, UpperClass, proEU, NotApplicable, 
id304, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, MiddleClass, proEU, NotApplicable, 
id305, Estonia, Female, Old, NationalLanguage, Estonian, NotApplicable, LowerClass, antiEU, NotApplicable, 
id306, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Right, LowerClass, antiEU, AntiNATOProRussia, 
id307, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, NotApplicable, antiEU, ProNATOAntiRussia, 
id308, Estonia, Female, MiddleAged, Both, Estonian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id309, Estonia, Female, Old, Both, Estonian, Center, MiddleClass, proEU, ProNATOAntiRussia, 
id310, Estonia, Female, MiddleAged, Both, Estonian, Center, UpperClass, proEU, AntiNATOProRussia, 
id311, Estonia, Female, Young, NationalLanguage, Estonian, Center, UpperClass, antiEU, AntiNATOProRussia, 
id312, Estonia, Male, MiddleAged, Both, Russian, NotApplicable, UpperClass, proEU, NotApplicable, 
id313, Estonia, Female, MiddleAged, Both, Estonian, Center, LowerClass, NotApplicable, NotApplicable, 
id314, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Right, UpperClass, antiEU, NotApplicable, 
id315, Estonia, Female, NotApplicable, NationalLanguage, Estonian, Center, MiddleClass, NotApplicable, ProNATOAntiRussia, 
id316, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, UpperClass, antiEU, AntiNATOProRussia, 
id317, Estonia, Female, Old, Russian, Russian, Center, UpperClass, proEU, NotApplicable, 
id318, Estonia, Male, Old, Both, Estonian, Center, MiddleClass, proEU, ProNATOAntiRussia, 
id319, Estonia, Male, NotApplicable, NationalLanguage, Estonian, Right, MiddleClass, antiEU, ProNATOAntiRussia, 
id320, Estonia, Male, Young, NationalLanguage, Estonian, Center, UpperClass, NotApplicable, AntiNATOProRussia, 
id321, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Right, NotApplicable, antiEU, AntiNATOProRussia, 
id322, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, MiddleClass, proEU, ProNATOAntiRussia, 
id323, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Right, UpperClass, proEU, ProNATOAntiRussia, 
id324, Estonia, Male, MiddleAged, Both, Estonian, NotApplicable, MiddleClass, antiEU, ProNATOAntiRussia, 
id325, Estonia, Female, NotApplicable, NationalLanguage, Estonian, Center, MiddleClass, antiEU, AntiNATOProRussia, 
id326, Estonia, Female, MiddleAged, NationalLanguage, Estonian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id327, Estonia, Female, Old, NationalLanguage, Estonian, Center, UpperClass, NotApplicable, AntiNATOProRussia, 
id328, Estonia, Female, Old, Both, Estonian, Center, NotApplicable, proEU, ProNATOAntiRussia, 
id329, Estonia, Male, MiddleAged, Both, Estonian, Left, MiddleClass, antiEU, ProNATOAntiRussia, 
id330, Estonia, Female, MiddleAged, Russian, Estonian, Right, NotApplicable, proEU, ProNATOAntiRussia, 
id331, Estonia, Male, NotApplicable, Russian, Estonian, Center, UpperClass, antiEU, AntiNATOProRussia, 
id332, Estonia, Female, NotApplicable, Both, Estonian, Right, UpperClass, NotApplicable, ProNATOAntiRussia, 
id333, Estonia, Female, Old, NationalLanguage, Estonian, NotApplicable, LowerClass, NotApplicable, AntiNATOProRussia, 
id334, Estonia, Female, NotApplicable, Russian, Estonian, NotApplicable, UpperClass, antiEU, AntiNATOProRussia, 
id335, Estonia, Female, MiddleAged, NationalLanguage, Russian, Right, LowerClass, antiEU, AntiNATOProRussia, 
id336, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Right, LowerClass, antiEU, NotApplicable, 
id337, Estonia, Male, MiddleAged, Both, Estonian, Right, LowerClass, proEU, AntiNATOProRussia, 
id338, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Center, MiddleClass, proEU, AntiNATOProRussia, 
id339, Estonia, Male, Young, NationalLanguage, Estonian, Center, NotApplicable, proEU, AntiNATOProRussia, 
id340, Estonia, Female, Young, Russian, Russian, Center, UpperClass, antiEU, ProNATOAntiRussia, 
id341, Estonia, Female, Old, NationalLanguage, Estonian, Center, NotApplicable, antiEU, ProNATOAntiRussia, 
id342, Estonia, Male, MiddleAged, Russian, Estonian, Center, NotApplicable, NotApplicable, ProNATOAntiRussia, 
id343, Estonia, Female, MiddleAged, Both, Estonian, Center, UpperClass, NotApplicable, NotApplicable, 
id344, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, NotApplicable, proEU, NotApplicable, 
id345, Estonia, Female, Young, NationalLanguage, Estonian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id346, Estonia, Female, NotApplicable, NationalLanguage, Estonian, NotApplicable, UpperClass, NotApplicable, NotApplicable, 
id347, Estonia, Male, MiddleAged, Russian, Estonian, NotApplicable, UpperClass, antiEU, AntiNATOProRussia, 
id348, Estonia, Male, NotApplicable, Both, Russian, Center, LowerClass, proEU, NotApplicable, 
id349, Estonia, Male, MiddleAged, NationalLanguage, Estonian, NotApplicable, MiddleClass, proEU, NotApplicable, 
id350, Estonia, Male, MiddleAged, NationalLanguage, Estonian, NotApplicable, MiddleClass, proEU, NotApplicable, 
id351, Estonia, Female, Old, Both, Estonian, NotApplicable, NotApplicable, NotApplicable, ProNATOAntiRussia, 
id352, Estonia, Male, MiddleAged, Russian, Estonian, Center, UpperClass, proEU, ProNATOAntiRussia, 
id353, Estonia, Male, Old, Both, Estonian, Center, UpperClass, proEU, AntiNATOProRussia, 
id354, Estonia, Male, MiddleAged, Russian, Other, Center, NotApplicable, proEU, AntiNATOProRussia, 
id355, Estonia, Male, Young, Russian, Estonian, NotApplicable, UpperClass, antiEU, NotApplicable, 
id356, Estonia, Female, Old, NationalLanguage, Russian, Right, LowerClass, antiEU, ProNATOAntiRussia, 
id357, Estonia, Female, Young, NationalLanguage, Estonian, Center, UpperClass, proEU, NotApplicable, 
id358, Estonia, Male, Old, Both, Estonian, Center, NotApplicable, proEU, NotApplicable, 
id359, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Center, MiddleClass, proEU, NotApplicable, 
id360, Estonia, Female, NotApplicable, Russian, Russian, Center, NotApplicable, antiEU, NotApplicable, 
id361, Estonia, Female, NotApplicable, NationalLanguage, Estonian, Right, MiddleClass, antiEU, ProNATOAntiRussia, 
id362, Estonia, Male, NotApplicable, NationalLanguage, Russian, Left, NotApplicable, antiEU, ProNATOAntiRussia, 
id363, Estonia, Female, Old, NationalLanguage, Estonian, Left, UpperClass, NotApplicable, NotApplicable, 
id364, Estonia, Female, Old, Both, Estonian, Left, UpperClass, NotApplicable, AntiNATOProRussia, 
id365, Estonia, Female, Young, NationalLanguage, Estonian, Right, UpperClass, proEU, AntiNATOProRussia, 
id366, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Right, NotApplicable, antiEU, NotApplicable, 
id367, Estonia, Female, MiddleAged, Both, Estonian, Right, LowerClass, proEU, AntiNATOProRussia, 
id368, Estonia, Male, Old, NationalLanguage, Estonian, Left, MiddleClass, antiEU, ProNATOAntiRussia, 
id369, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Right, NotApplicable, proEU, AntiNATOProRussia, 
id370, Estonia, Female, MiddleAged, NationalLanguage, Estonian, NotApplicable, UpperClass, proEU, NotApplicable, 
id371, Estonia, Male, MiddleAged, NationalLanguage, Estonian, NotApplicable, MiddleClass, antiEU, ProNATOAntiRussia, 
id372, Estonia, Female, Old, Russian, Estonian, NotApplicable, MiddleClass, antiEU, NotApplicable, 
id373, Estonia, Female, MiddleAged, NationalLanguage, Estonian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id374, Estonia, Male, MiddleAged, Russian, Estonian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id375, Estonia, Female, NotApplicable, Both, Russian, Right, NotApplicable, antiEU, NotApplicable, 
id376, Estonia, Male, MiddleAged, Russian, Estonian, Left, UpperClass, proEU, AntiNATOProRussia, 
id377, Estonia, Male, MiddleAged, Russian, Estonian, Left, UpperClass, antiEU, NotApplicable, 
id378, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Center, LowerClass, antiEU, ProNATOAntiRussia, 
id379, Estonia, Female, MiddleAged, Russian, Estonian, Center, MiddleClass, NotApplicable, AntiNATOProRussia, 
id380, Estonia, Female, Old, NationalLanguage, Estonian, Left, NotApplicable, antiEU, ProNATOAntiRussia, 
id381, Estonia, Female, MiddleAged, Both, Estonian, Left, NotApplicable, proEU, AntiNATOProRussia, 
id382, Estonia, Male, MiddleAged, NationalLanguage, Estonian, NotApplicable, LowerClass, antiEU, NotApplicable, 
id383, Estonia, Male, NotApplicable, Both, Estonian, Center, MiddleClass, proEU, ProNATOAntiRussia, 
id384, Estonia, Male, Old, NationalLanguage, Estonian, Right, UpperClass, antiEU, ProNATOAntiRussia, 
id385, Estonia, Female, NotApplicable, NationalLanguage, Estonian, NotApplicable, NotApplicable, antiEU, NotApplicable, 
id386, Estonia, Male, NotApplicable, NationalLanguage, Estonian, Center, LowerClass, antiEU, NotApplicable, 
id387, Estonia, Female, Young, NationalLanguage, Estonian, Center, NotApplicable, proEU, AntiNATOProRussia, 
id388, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, MiddleClass, antiEU, AntiNATOProRussia, 
id389, Estonia, Female, MiddleAged, Russian, Estonian, Right, UpperClass, antiEU, AntiNATOProRussia, 
id390, Estonia, Male, NotApplicable, NationalLanguage, Estonian, Center, MiddleClass, proEU, NotApplicable, 
id391, Estonia, Female, MiddleAged, Both, Russian, Left, UpperClass, NotApplicable, ProNATOAntiRussia, 
id392, Estonia, Male, MiddleAged, Russian, Estonian, Right, UpperClass, antiEU, NotApplicable, 
id393, Estonia, Male, Young, NationalLanguage, Russian, Center, MiddleClass, antiEU, NotApplicable, 
id394, Estonia, Female, NotApplicable, NationalLanguage, Estonian, Left, MiddleClass, antiEU, ProNATOAntiRussia, 
id395, Estonia, Male, MiddleAged, Russian, Estonian, Center, MiddleClass, NotApplicable, ProNATOAntiRussia, 
id396, Estonia, Male, NotApplicable, Russian, Estonian, Right, UpperClass, antiEU, ProNATOAntiRussia, 
id397, Estonia, Male, MiddleAged, Russian, Estonian, NotApplicable, MiddleClass, antiEU, NotApplicable, 
id398, Estonia, Female, Old, Both, Estonian, Center, UpperClass, proEU, ProNATOAntiRussia, 
id399, Estonia, Female, Young, NationalLanguage, Estonian, NotApplicable, UpperClass, proEU, ProNATOAntiRussia, 
id400, Estonia, Female, MiddleAged, Both, Russian, Right, NotApplicable, proEU, AntiNATOProRussia, 
id401, Latvia, Female, MiddleAged, Both, Latvian, Right, LowerClass, NotApplicable, ProNATOAntiRussia, 
id402, Latvia, Female, MiddleAged, NationalLanguage, Latvian, Center, LowerClass, proEU, AntiNATOProRussia, 
id403, Latvia, Male, NotApplicable, Both, Latvian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id404, Latvia, Female, Old, Both, Latvian, Right, NotApplicable, proEU, ProNATOAntiRussia, 
id405, Latvia, Male, MiddleAged, Both, Latvian, NotApplicable, UpperClass, antiEU, AntiNATOProRussia, 
id406, Latvia, Male, NotApplicable, Both, Latvian, Right, MiddleClass, proEU, ProNATOAntiRussia, 
id407, Latvia, Female, MiddleAged, Both, Latvian, Left, MiddleClass, proEU, AntiNATOProRussia, 
id408, Latvia, Female, NotApplicable, Both, Latvian, Right, MiddleClass, proEU, ProNATOAntiRussia, 
id409, Latvia, Female, MiddleAged, Russian, Latvian, Right, MiddleClass, proEU, AntiNATOProRussia, 
id410, Latvia, Male, Old, Both, Latvian, Right, NotApplicable, proEU, AntiNATOProRussia, 
id411, Latvia, Female, MiddleAged, Both, Latvian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id412, Latvia, Female, MiddleAged, Russian, Latvian, Center, LowerClass, antiEU, AntiNATOProRussia, 
id413, Latvia, Female, NotApplicable, Russian, Latvian, Right, NotApplicable, proEU, NotApplicable, 
id414, Latvia, Female, Old, Both, Latvian, Right, UpperClass, proEU, ProNATOAntiRussia, 
id415, Latvia, Female, Old, Both, Latvian, Left, UpperClass, proEU, ProNATOAntiRussia, 
id416, Latvia, Male, MiddleAged, Both, Latvian, Right, MiddleClass, proEU, NotApplicable, 
id417, Latvia, Male, Young, NationalLanguage, Other, NotApplicable, NotApplicable, proEU, ProNATOAntiRussia, 
id418, Latvia, Female, MiddleAged, Russian, Latvian, Right, NotApplicable, NotApplicable, AntiNATOProRussia, 
id419, Latvia, Male, NotApplicable, NationalLanguage, Latvian, Right, UpperClass, antiEU, AntiNATOProRussia, 
id420, Latvia, Male, MiddleAged, NationalLanguage, Latvian, Right, MiddleClass, NotApplicable, NotApplicable, 
id421, Latvia, Female, MiddleAged, Both, Latvian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id422, Latvia, Female, MiddleAged, NationalLanguage, Latvian, Center, LowerClass, proEU, NotApplicable, 
id423, Latvia, Female, Old, Russian, Latvian, Center, MiddleClass, proEU, NotApplicable, 
id424, Latvia, Female, Young, NationalLanguage, Latvian, Center, NotApplicable, antiEU, NotApplicable, 
id425, Latvia, Male, Young, Both, Latvian, Center, UpperClass, proEU, NotApplicable, 
id426, Latvia, Female, Old, Both, Latvian, Center, UpperClass, NotApplicable, NotApplicable, 
id427, Latvia, Female, Young, Russian, Latvian, NotApplicable, MiddleClass, NotApplicable, NotApplicable, 
id428, Latvia, Male, MiddleAged, NationalLanguage, Russian, Center, UpperClass, NotApplicable, NotApplicable, 
id429, Latvia, Female, MiddleAged, Both, Latvian, Right, NotApplicable, antiEU, AntiNATOProRussia, 
id430, Latvia, Male, MiddleAged, NationalLanguage, Latvian, NotApplicable, LowerClass, proEU, AntiNATOProRussia, 
id431, Latvia, Male, Young, Both, Latvian, Center, NotApplicable, proEU, NotApplicable, 
id432, Latvia, Female, MiddleAged, NationalLanguage, Latvian, NotApplicable, NotApplicable, NotApplicable, ProNATOAntiRussia, 
id433, Latvia, Male, Old, NationalLanguage, Latvian, Right, NotApplicable, antiEU, AntiNATOProRussia, 
id434, Latvia, Male, MiddleAged, Russian, Latvian, Center, UpperClass, proEU, AntiNATOProRussia, 
id435, Latvia, Male, Young, NationalLanguage, Latvian, Center, MiddleClass, NotApplicable, NotApplicable, 
id436, Latvia, Male, MiddleAged, Both, Other, Right, LowerClass, proEU, NotApplicable, 
id437, Latvia, Female, Old, Both, Latvian, Left, NotApplicable, proEU, AntiNATOProRussia, 
id438, Latvia, Male, Young, Both, Russian, Right, LowerClass, proEU, NotApplicable, 
id439, Latvia, Female, MiddleAged, NationalLanguage, Latvian, Center, UpperClass, proEU, ProNATOAntiRussia, 
id440, Latvia, Female, MiddleAged, NationalLanguage, Latvian, NotApplicable, UpperClass, proEU, NotApplicable, 
id441, Latvia, Female, MiddleAged, NationalLanguage, Latvian, NotApplicable, UpperClass, proEU, ProNATOAntiRussia, 
id442, Latvia, Female, Old, Russian, Latvian, Right, UpperClass, antiEU, NotApplicable, 
id443, Latvia, Female, NotApplicable, Russian, Latvian, Right, UpperClass, proEU, AntiNATOProRussia, 
id444, Latvia, Male, MiddleAged, Both, Latvian, Right, LowerClass, proEU, AntiNATOProRussia, 
id445, Latvia, Female, Old, Both, Latvian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id446, Latvia, Male, MiddleAged, NationalLanguage, Latvian, NotApplicable, LowerClass, antiEU, ProNATOAntiRussia, 
id447, Latvia, Female, NotApplicable, NationalLanguage, Latvian, Right, MiddleClass, proEU, ProNATOAntiRussia, 
id448, Latvia, Female, MiddleAged, NationalLanguage, Latvian, Right, NotApplicable, proEU, NotApplicable, 
id449, Latvia, Female, NotApplicable, Both, Latvian, Right, LowerClass, proEU, AntiNATOProRussia, 
id450, Latvia, Female, Young, NationalLanguage, Latvian, Right, LowerClass, antiEU, ProNATOAntiRussia, 
id451, Latvia, Male, MiddleAged, NationalLanguage, Latvian, Left, NotApplicable, antiEU, NotApplicable, 
id452, Latvia, Male, Old, Russian, Latvian, Right, MiddleClass, antiEU, NotApplicable, 
id453, Latvia, Female, MiddleAged, Russian, Latvian, Right, NotApplicable, NotApplicable, AntiNATOProRussia, 
id454, Latvia, Female, MiddleAged, Both, Latvian, Left, NotApplicable, antiEU, NotApplicable, 
id455, Latvia, Male, Young, Both, Latvian, Right, LowerClass, proEU, NotApplicable, 
id456, Latvia, Male, Young, Both, Latvian, Center, NotApplicable, proEU, ProNATOAntiRussia, 
id457, Latvia, Male, Young, Both, Latvian, Left, LowerClass, proEU, NotApplicable, 
id458, Latvia, Female, NotApplicable, NationalLanguage, Latvian, NotApplicable, NotApplicable, proEU, AntiNATOProRussia, 
id459, Latvia, Female, Old, Russian, Russian, Right, UpperClass, proEU, ProNATOAntiRussia, 
id460, Latvia, Female, NotApplicable, Both, Latvian, Right, MiddleClass, antiEU, AntiNATOProRussia, 
id461, Latvia, Female, NotApplicable, Both, Other, Center, UpperClass, antiEU, ProNATOAntiRussia, 
id462, Latvia, Male, MiddleAged, NationalLanguage, Latvian, NotApplicable, LowerClass, NotApplicable, ProNATOAntiRussia, 
id463, Latvia, Male, Old, Russian, Latvian, Right, UpperClass, proEU, NotApplicable, 
id464, Latvia, Male, MiddleAged, NationalLanguage, Latvian, NotApplicable, NotApplicable, proEU, NotApplicable, 
id465, Latvia, Female, MiddleAged, Both, Latvian, Right, MiddleClass, NotApplicable, ProNATOAntiRussia, 
id466, Latvia, Male, MiddleAged, NationalLanguage, Latvian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id467, Latvia, Male, Old, NationalLanguage, Latvian, Center, MiddleClass, proEU, ProNATOAntiRussia, 
id468, Latvia, Female, MiddleAged, NationalLanguage, Russian, Center, UpperClass, antiEU, NotApplicable, 
id469, Latvia, Female, NotApplicable, NationalLanguage, Latvian, Right, NotApplicable, NotApplicable, NotApplicable, 
id470, Latvia, Female, MiddleAged, Both, Russian, Center, NotApplicable, proEU, AntiNATOProRussia, 
id471, Latvia, Male, MiddleAged, NationalLanguage, Latvian, Right, MiddleClass, proEU, NotApplicable, 
id472, Latvia, Female, MiddleAged, Both, Other, Right, UpperClass, proEU, AntiNATOProRussia, 
id473, Latvia, Male, Young, Both, Latvian, Right, MiddleClass, proEU, AntiNATOProRussia, 
id474, Latvia, Male, Old, Russian, Latvian, Center, MiddleClass, proEU, NotApplicable, 
id475, Latvia, Female, Old, Both, Latvian, Right, NotApplicable, proEU, NotApplicable, 
id476, Latvia, Female, NotApplicable, NationalLanguage, Latvian, Right, NotApplicable, antiEU, ProNATOAntiRussia, 
id477, Latvia, Male, Old, Both, Latvian, Right, NotApplicable, proEU, ProNATOAntiRussia, 
id478, Latvia, Male, MiddleAged, Both, Latvian, Center, LowerClass, proEU, AntiNATOProRussia, 
id479, Latvia, Female, Young, Both, Latvian, NotApplicable, NotApplicable, NotApplicable, ProNATOAntiRussia, 
id480, Latvia, Female, MiddleAged, NationalLanguage, Latvian, Left, NotApplicable, proEU, ProNATOAntiRussia, 
id481, Latvia, Male, Old, NationalLanguage, Latvian, Right, MiddleClass, proEU, AntiNATOProRussia, 
id482, Latvia, Male, MiddleAged, NationalLanguage, Russian, NotApplicable, LowerClass, antiEU, ProNATOAntiRussia, 
id483, Latvia, Male, MiddleAged, NationalLanguage, Latvian, Left, MiddleClass, antiEU, AntiNATOProRussia, 
id484, Latvia, Female, NotApplicable, Both, Russian, Right, LowerClass, proEU, ProNATOAntiRussia, 
id485, Latvia, Female, MiddleAged, Both, Latvian, Right, MiddleClass, antiEU, AntiNATOProRussia, 
id486, Latvia, Female, MiddleAged, Both, Latvian, Left, LowerClass, NotApplicable, ProNATOAntiRussia, 
id487, Latvia, Male, Young, Both, Latvian, Right, LowerClass, proEU, ProNATOAntiRussia, 
id488, Latvia, Male, MiddleAged, Both, Latvian, Center, NotApplicable, proEU, AntiNATOProRussia, 
id489, Latvia, Male, NotApplicable, NationalLanguage, Latvian, Center, MiddleClass, proEU, ProNATOAntiRussia, 
id490, Latvia, Male, Old, NationalLanguage, Latvian, Left, MiddleClass, proEU, NotApplicable, 
id491, Latvia, Male, Old, NationalLanguage, Latvian, NotApplicable, NotApplicable, proEU, NotApplicable, 
id492, Latvia, Female, Old, NationalLanguage, Latvian, Center, UpperClass, antiEU, NotApplicable, 
id493, Latvia, Male, MiddleAged, Both, Latvian, Center, UpperClass, proEU, AntiNATOProRussia, 
id494, Latvia, Female, Old, NationalLanguage, Russian, NotApplicable, UpperClass, antiEU, ProNATOAntiRussia, 
id495, Latvia, Male, MiddleAged, Both, Russian, Right, LowerClass, antiEU, NotApplicable, 
id496, Latvia, Female, MiddleAged, NationalLanguage, Latvian, Right, LowerClass, NotApplicable, ProNATOAntiRussia, 
id497, Latvia, Female, NotApplicable, Both, Latvian, Left, UpperClass, antiEU, AntiNATOProRussia, 
id498, Latvia, Female, Old, Russian, Latvian, NotApplicable, NotApplicable, proEU, NotApplicable, 
id499, Latvia, Female, MiddleAged, NationalLanguage, Belarusian, NotApplicable, UpperClass, antiEU, NotApplicable, 
